label,valid,timeout,column_does_not_exist,sub_query_error,function_does_not_exist,other,missing_from,syntax_error,relation_does_not_exist,operator_does_not_exist
ministral-3:14b-cloud_direct,1409,46,728,48.0,227,93,174,54.0,4.0,24
ministral-3:14b-cloud_rag,1409,46,728,48.0,227,93,174,54.0,4.0,24
ministral-3:14b-cloud_text2sql,1409,46,728,48.0,227,93,174,54.0,4.0,24
sonnet4.6_direct,2473,50,94,0.0,94,71,3,0.0,0.0,27
sonnet4.6_rag,2473,50,94,0.0,94,71,3,0.0,0.0,27
sonnet4.6_text2sql,2473,50,94,0.0,94,71,3,0.0,0.0,27
gpt4o_direct,2221,29,155,2.0,277,93,1,20.0,0.0,2
gpt4o_rag,2221,29,155,2.0,277,93,1,20.0,0.0,2
gpt4o_text2sql,2221,29,155,2.0,277,93,1,20.0,0.0,2
