TID,type,relative_error_ministral-3:14b-cloud_direct,relative_error_sonnet4.6_direct,relative_error_gpt4o_direct,relative_error_ministral-3:14b-cloud_text2sql,relative_error_sonnet4.6_text2sql,relative_error_gpt4o_text2sql,relative_error_ministral-3:14b-cloud_rag,relative_error_sonnet4.6_rag,relative_error_gpt4o_rag,relative_error_shuffled
T25,range+distance,0.9373,0.9707,0.9315,0.7643,0.1818,0.726,0.7763,0.4469,0.89,1.0
T26,knn+distance,0.9359,0.8691,0.837,0.7505,0.1465,0.6609,0.8006,0.6219,0.6811,1.0
