TID,type,P_ministral-3:14b-cloud_direct,R_ministral-3:14b-cloud_direct,F1_ministral-3:14b-cloud_direct,angle_error_ministral-3:14b-cloud_direct,P_sonnet4.6_direct,R_sonnet4.6_direct,F1_sonnet4.6_direct,angle_error_sonnet4.6_direct,P_gpt4o_direct,R_gpt4o_direct,F1_gpt4o_direct,angle_error_gpt4o_direct,P_ministral-3:14b-cloud_text2sql,R_ministral-3:14b-cloud_text2sql,F1_ministral-3:14b-cloud_text2sql,angle_error_ministral-3:14b-cloud_text2sql,P_sonnet4.6_text2sql,R_sonnet4.6_text2sql,F1_sonnet4.6_text2sql,angle_error_sonnet4.6_text2sql,P_gpt4o_text2sql,R_gpt4o_text2sql,F1_gpt4o_text2sql,angle_error_gpt4o_text2sql,P_ministral-3:14b-cloud_rag,R_ministral-3:14b-cloud_rag,F1_ministral-3:14b-cloud_rag,angle_error_ministral-3:14b-cloud_rag,P_sonnet4.6_rag,R_sonnet4.6_rag,F1_sonnet4.6_rag,angle_error_sonnet4.6_rag,P_gpt4o_rag,R_gpt4o_rag,F1_gpt4o_rag,angle_error_gpt4o_rag,P_shuffled,R_shuffled,F1_shuffled,angle_error_shuffled
T21,range+angle,0.5657,0.5657,0.5657,0.1846,0.6915,0.6915,0.6915,0.152,0.65,0.65,0.65,0.1624,0.6837,0.6837,0.6837,0.1465,0.9494,0.9494,0.9494,0.0499,0.8367,0.8367,0.8367,0.0762,0.5978,0.5978,0.5978,0.1964,0.7727,0.7727,0.7727,0.1152,0.6591,0.6591,0.6591,0.1713,0.58,0.58,0.58,0.1706
T22,knn+angle,0.09,0.09,0.09,0.5521,0.1348,0.1348,0.1348,0.4756,0.14,0.14,0.14,0.4738,0.18,0.18,0.18,0.507,0.6471,0.6471,0.6471,0.2127,0.52,0.52,0.52,0.2758,0.1031,0.1031,0.1031,0.5638,0.1026,0.1026,0.1026,0.5633,0.186,0.186,0.186,0.4831,0.16,0.16,0.16,0.473
