TID,type,P_ministral-3:14b-cloud_direct,R_ministral-3:14b-cloud_direct,F1_ministral-3:14b-cloud_direct,distance_error_ministral-3:14b-cloud_direct,P_sonnet4.6_direct,R_sonnet4.6_direct,F1_sonnet4.6_direct,distance_error_sonnet4.6_direct,P_gpt4o_direct,R_gpt4o_direct,F1_gpt4o_direct,distance_error_gpt4o_direct,P_ministral-3:14b-cloud_text2sql,R_ministral-3:14b-cloud_text2sql,F1_ministral-3:14b-cloud_text2sql,distance_error_ministral-3:14b-cloud_text2sql,P_sonnet4.6_text2sql,R_sonnet4.6_text2sql,F1_sonnet4.6_text2sql,distance_error_sonnet4.6_text2sql,P_gpt4o_text2sql,R_gpt4o_text2sql,F1_gpt4o_text2sql,distance_error_gpt4o_text2sql,P_ministral-3:14b-cloud_rag,R_ministral-3:14b-cloud_rag,F1_ministral-3:14b-cloud_rag,distance_error_ministral-3:14b-cloud_rag,P_sonnet4.6_rag,R_sonnet4.6_rag,F1_sonnet4.6_rag,distance_error_sonnet4.6_rag,P_gpt4o_rag,R_gpt4o_rag,F1_gpt4o_rag,distance_error_gpt4o_rag,P_shuffled,R_shuffled,F1_shuffled,distance_error_shuffled
T13,range+loc,0.3226,0.2645,0.262,0.254,0.4584,0.3526,0.356,0.1249,0.3373,0.3344,0.3006,0.1814,0.3769,0.2885,0.2895,0.2288,0.5504,0.4158,0.4102,0.1834,0.4775,0.3725,0.3669,0.2187,0.3812,0.3774,0.3206,0.2648,0.3769,0.405,0.3373,0.2709,0.3826,0.3699,0.325,0.235,0.3589,0.3762,0.3194,0.1215
T14,range:non_spat_filter+loc,0.2739,0.1853,0.2044,0.2246,0.4258,0.238,0.2797,0.1428,0.2878,0.2,0.215,0.2128,0.2815,0.1761,0.1948,0.2011,0.667,0.378,0.4382,0.1783,0.405,0.2844,0.2986,0.1893,0.296,0.2286,0.2268,0.363,0.235,0.1956,0.1814,0.4526,0.2977,0.224,0.2256,0.3513,0.295,0.2408,0.2402,0.2069
T15,range:direction+loc,0.2174,0.1973,0.1881,0.2964,0.3687,0.2594,0.2734,0.18,0.2633,0.2137,0.2096,0.2714,0.2463,0.1948,0.1918,0.245,0.6223,0.344,0.4096,0.1882,0.3418,0.2338,0.2443,0.2584,0.3286,0.2017,0.2293,0.1779,0.302,0.224,0.2277,0.2253,0.3162,0.2021,0.2224,0.2014,0.2615,0.2206,0.2132,0.1189
T16,range:towards+loc,0.4832,0.4341,0.4169,0.1439,0.5506,0.4833,0.4601,0.0914,0.4136,0.3764,0.3518,0.1122,0.4751,0.4048,0.3942,0.168,0.6122,0.466,0.4682,0.2455,0.5339,0.4103,0.4193,0.13,0.4774,0.4403,0.3939,0.2889,0.4296,0.4297,0.3728,0.4365,0.49,0.4556,0.4104,0.262,0.2148,0.3244,0.2431,0.8896
T17,knn+loc,0.373,0.2542,0.2722,0.2056,0.3711,0.2851,0.2877,0.169,0.369,0.2944,0.2886,0.2497,0.4013,0.3036,0.2997,0.1499,0.7192,0.3754,0.4586,0.1248,0.4905,0.3193,0.3455,0.1862,0.4527,0.2993,0.3194,0.2159,0.3718,0.2478,0.2631,0.1984,0.427,0.3072,0.3107,0.2205,0.0481,0.0457,0.0459,0.9499
T18,knn:non_spat_filter+loc,0.1869,0.1211,0.1363,0.4649,0.1727,0.1327,0.1402,0.3883,0.1307,0.1041,0.1097,0.4218,0.1414,0.0953,0.1036,0.4798,0.4955,0.236,0.3074,0.317,0.3227,0.202,0.2319,0.4008,0.1777,0.1025,0.1215,0.5114,0.1491,0.0937,0.1062,0.6836,0.1992,0.1014,0.1261,0.4843,0.1332,0.1315,0.1311,0.8829
T19,knn:direction+loc,0.2746,0.1774,0.1883,0.1751,0.2357,0.1688,0.1744,0.1397,0.2203,0.1624,0.1682,0.1582,0.2762,0.206,0.2059,0.2249,0.7978,0.3761,0.4889,0.2752,0.2886,0.2108,0.2223,0.2228,0.3096,0.184,0.2048,0.156,0.2443,0.155,0.1706,0.2673,0.3044,0.1821,0.2033,0.1564,0.2383,0.217,0.1994,0.3146
T20,knn:towards+loc,0.261,0.217,0.2148,0.2204,0.2781,0.2393,0.238,0.221,0.2465,0.1657,0.1774,0.1429,0.3112,0.2139,0.2289,0.2662,0.578,0.2655,0.3384,0.1019,0.2901,0.1937,0.2114,0.1576,0.3288,0.2048,0.2301,0.2645,0.293,0.1553,0.1977,0.3096,0.3228,0.2175,0.2303,0.2761,0.0698,0.0477,0.0527,0.8932
